GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021001200,"Census Tract 12, Laramie County, Wyoming",4624.0,86218.0,86.0,0.018598615916955018,2160.0,2060.0,100.0,0.046296296296296294,001200,2014
56021001502,"Census Tract 15.02, Laramie County, Wyoming",5010.0,37382.0,1099.0,0.21936127744510978,2420.0,2039.0,381.0,0.1574380165289256,001502,2014
56021000300,"Census Tract 3, Laramie County, Wyoming",3660.0,59263.0,296.0,0.08087431693989071,1423.0,1307.0,116.0,0.08151791988756149,000300,2014
56021000401,"Census Tract 4.01, Laramie County, Wyoming",4747.0,52760.0,666.0,0.1402991362966084,2065.0,1849.0,216.0,0.10460048426150122,000401,2014
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5050.0,74013.0,366.0,0.07247524752475247,2015.0,1882.0,133.0,0.06600496277915632,001501,2014
56021000200,"Census Tract 2, Laramie County, Wyoming",4543.0,37909.0,1281.0,0.28197226502311246,2280.0,1829.0,451.0,0.19780701754385965,000200,2014
56021000900,"Census Tract 9, Laramie County, Wyoming",2467.0,64857.0,94.0,0.03810295905958654,1418.0,1250.0,168.0,0.11847672778561354,000900,2014
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2014
56021002000,"Census Tract 20, Laramie County, Wyoming",8158.0,72716.0,257.0,0.031502819318460405,3366.0,3072.0,294.0,0.0873440285204991,002000,2015
56021000600,"Census Tract 6, Laramie County, Wyoming",6053.0,50069.0,567.0,0.09367255906162233,2917.0,2681.0,236.0,0.08090503942406582,000600,2015
56021000700,"Census Tract 7, Laramie County, Wyoming",4332.0,36756.0,734.0,0.16943674976915973,2351.0,1933.0,418.0,0.17779668226286688,000700,2015
56021000800,"Census Tract 8, Laramie County, Wyoming",1866.0,61934.0,189.0,0.10128617363344052,897.0,846.0,51.0,0.056856187290969896,000800,2015
56021001000,"Census Tract 10, Laramie County, Wyoming",3273.0,41522.0,725.0,0.22150931866788878,1703.0,1381.0,322.0,0.18907809747504403,001000,2015
56021001300,"Census Tract 13, Laramie County, Wyoming",7965.0,77685.0,318.0,0.03992467043314501,3339.0,3252.0,87.0,0.02605570530098832,001300,2015
56021000402,"Census Tract 4.02, Laramie County, Wyoming",6174.0,40839.0,1268.0,0.20537738905085845,2474.0,2356.0,118.0,0.047696038803556995,000402,2015
56021001100,"Census Tract 11, Laramie County, Wyoming",2634.0,50982.0,44.0,0.016704631738800303,716.0,597.0,119.0,0.16620111731843576,001100,2015
56021001200,"Census Tract 12, Laramie County, Wyoming",4686.0,98917.0,54.0,0.011523687580025609,2226.0,2091.0,135.0,0.06064690026954178,001200,2015
56021001502,"Census Tract 15.02, Laramie County, Wyoming",4916.0,37414.0,936.0,0.1903986981285598,2468.0,2060.0,408.0,0.16531604538087522,001502,2015
56021000300,"Census Tract 3, Laramie County, Wyoming",3717.0,61283.0,361.0,0.09712133440947,1466.0,1325.0,141.0,0.09618008185538882,000300,2015
56021000401,"Census Tract 4.01, Laramie County, Wyoming",4790.0,48464.0,662.0,0.13820459290187892,2042.0,1815.0,227.0,0.11116552399608227,000401,2015
56021001501,"Census Tract 15.01, Laramie County, Wyoming",4969.0,73913.0,304.0,0.061179311732743005,1978.0,1778.0,200.0,0.10111223458038422,001501,2015
56021000200,"Census Tract 2, Laramie County, Wyoming",4344.0,37917.0,1286.0,0.2960405156537753,2314.0,1864.0,450.0,0.1944684528954192,000200,2015
56021000900,"Census Tract 9, Laramie County, Wyoming",2631.0,66200.0,116.0,0.044089699733941466,1376.0,1220.0,156.0,0.11337209302325581,000900,2015
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8555.0,72182.0,676.0,0.07901811805961426,3239.0,2983.0,256.0,0.07903673973448595,000501,2015
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4351.0,73125.0,349.0,0.08021144564467939,1624.0,1599.0,25.0,0.01539408866995074,001401,2015
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2497.0,70877.0,184.0,0.0736884261113336,1016.0,997.0,19.0,0.018700787401574805,001402,2015
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5283.0,96838.0,181.0,0.034260836645845165,1910.0,1858.0,52.0,0.027225130890052355,001901,2015
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4237.0,81328.0,158.0,0.03729053575643144,1834.0,1586.0,248.0,0.13522355507088332,001902,2015
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2015
56021002000,"Census Tract 20, Laramie County, Wyoming",8906.0,73930.0,518.0,0.05816303615540085,3495.0,3143.0,352.0,0.10071530758226037,002000,2016
56021000600,"Census Tract 6, Laramie County, Wyoming",6143.0,55265.0,495.0,0.08057952140647892,2881.0,2621.0,260.0,0.09024644220756682,000600,2016
56021000700,"Census Tract 7, Laramie County, Wyoming",3971.0,33068.0,918.0,0.2311760261898766,2327.0,1900.0,427.0,0.18349806617963044,000700,2016
56021000800,"Census Tract 8, Laramie County, Wyoming",1888.0,66985.0,178.0,0.09427966101694915,894.0,841.0,53.0,0.0592841163310962,000800,2016
56021001000,"Census Tract 10, Laramie County, Wyoming",3204.0,44720.0,461.0,0.14388264669163545,1680.0,1361.0,319.0,0.18988095238095237,001000,2016
56021001300,"Census Tract 13, Laramie County, Wyoming",7980.0,77254.0,244.0,0.030576441102756893,3416.0,3312.0,104.0,0.03044496487119438,001300,2016
56021000402,"Census Tract 4.02, Laramie County, Wyoming",6269.0,36662.0,1493.0,0.23815600574254267,2530.0,2407.0,123.0,0.04861660079051383,000402,2016
56021001100,"Census Tract 11, Laramie County, Wyoming",2430.0,47049.0,54.0,0.022222222222222223,655.0,564.0,91.0,0.13893129770992366,001100,2016
56021001200,"Census Tract 12, Laramie County, Wyoming",4740.0,89583.0,51.0,0.010759493670886076,2248.0,2043.0,205.0,0.09119217081850534,001200,2016
56021001502,"Census Tract 15.02, Laramie County, Wyoming",5013.0,39266.0,994.0,0.19828446040295233,2455.0,2052.0,403.0,0.16415478615071283,001502,2016
56021000300,"Census Tract 3, Laramie County, Wyoming",3699.0,60406.0,338.0,0.09137604758042714,1508.0,1340.0,168.0,0.11140583554376658,000300,2016
56021000401,"Census Tract 4.01, Laramie County, Wyoming",4728.0,50833.0,707.0,0.1495346869712352,1965.0,1706.0,259.0,0.13180661577608144,000401,2016
56021001501,"Census Tract 15.01, Laramie County, Wyoming",5380.0,69279.0,327.0,0.06078066914498141,2060.0,1933.0,127.0,0.06165048543689321,001501,2016
56021000200,"Census Tract 2, Laramie County, Wyoming",4249.0,42764.0,1144.0,0.26923982113438455,2329.0,1827.0,502.0,0.21554315156719622,000200,2016
56021000900,"Census Tract 9, Laramie County, Wyoming",2688.0,70000.0,162.0,0.060267857142857144,1381.0,1202.0,179.0,0.12961622013034033,000900,2016
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8819.0,67074.0,770.0,0.08731148656310239,3274.0,3039.0,235.0,0.07177764202810018,000501,2016
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4234.0,68455.0,431.0,0.10179499291450166,1633.0,1605.0,28.0,0.017146356399265157,001401,2016
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2657.0,73578.0,134.0,0.05043281896876176,1066.0,1035.0,31.0,0.029080675422138838,001402,2016
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5222.0,92115.0,245.0,0.04691689008042895,1945.0,1888.0,57.0,0.02930591259640103,001901,2016
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4239.0,87226.0,148.0,0.03491389478650625,1829.0,1543.0,286.0,0.15636960087479496,001902,2016
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2016
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8782.0,72115.0,822.0,0.09360054657253473,3370.0,3132.0,238.0,0.07062314540059347,000501,2017
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4170.0,71952.0,406.0,0.0973621103117506,1655.0,1607.0,48.0,0.029003021148036254,001401,2017
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2657.0,76250.0,203.0,0.07640195709446744,1101.0,1029.0,72.0,0.0653950953678474,001402,2017
